mk,sq,es,en
Ѓељбрим Џемаили,Gjelbrim Xhemaili,Gjelbrim Xhemaili,Gjelbrim Xhemaili
Ѓорѓе Белиќ,Gjorgje Belić, Gjorgje Belić, Gjorgje Belić
Јани Пажиќ,Jani Pažić,Jani Pažić,Jani Pažić
Јасин Љатифи,Jasin Latifi,Jasin Latifi,Jasin Latifi
Јасин Џемаили,Jasin Xhemaili,Jasin Xhemaili,Jasin Xhemaili
Јасир Беќири,Jasir Beqiri,Jasir Beqiri,Jasir Beqiri
Јасир Каљиси,Jasir Kalisi,Jasir Kalisi,Jasir Kalisi
Јасир Реџепи,Jasir Rexhepi,Jasir Rexhepi,Jasir Rexhepi
Јасмин Мециновиќ,Jasmin Mecinović,Jasmin Mecinović,Jasmin Mecinović
Јасмин Шкријељ,Jasmin Škrijelj,Jasmin Škrijelj,Jasmin Škrijelj
Јацк Лушиновски Давид,Jack Lušinovski David,Jack Lušinovski David,Jack Lušinovski David
Јашар Мемеди,Jashar Memedi,Jashar Memedi,Jashar Memedi
Јашко Селим,Jaško Selim,Jaško Selim,Jaško Selim
Јетон Џеладини,Jeton Xheladini,Jeton Xheladini,Jeton Xheladini
Јетон Беќири,Jeton Beqiri,Jeton Beqiri,Jeton Beqiri
Јилмаз Шкодриќи,Jilmaz Shkodriqi,Jilmaz Shkodriqi,Jilmaz Shkodriqi
Јоакин Торес,Joaquín Torres,Joaquín Torres,Joaquín Torres
Јован Јовановиќ,Jovan Jovanović,Jovan Jovanović,Jovan Jovanović
Јован Павловиќ,Jovan Pavlović,Jovan Pavlović,Jovan Pavlović
Јован Стојковиќ,Jovan Stojković,Jovan Stojković,Jovan Stojković
Јовица Радовановиќ,Jovica Radovanović,Jovica Radovanović,Jovica Radovanović
Јовица Стојковиќ,Jovica Stojković,Jovica Stojković,Jovica Stojković
Јосе Еступињан,José Estupiñán,José Estupiñán,José Estupiñán
Југослав Тасиќ,Jugoslav Tasić,Jugoslav Tasić,Jugoslav Tasić
Јусуф Љазими,Jusuf Lazimi,Jusuf Lazimi,Jusuf Lazimi
Јусуф Аљиу,Jusuf Aliu,Jusuf Aliu,Jusuf Aliu
Љабинот Аземи,Labinot Azemi,Labinot Azemi,Labinot Azemi
Љабинот Бељули,Labinot Beluli,Labinot Beluli,Labinot Beluli
Љабинот Муслиу,Labinot Musliu,Labinot Musliu,Labinot Musliu
Љавдрим Јашари,Lavdrim Jashari,Lavdrim Jashari,Lavdrim Jashari
Љавдрим Ибрахими,Lavdrim Ibrahimi,Lavdrim Ibrahimi,Lavdrim Ibrahimi
Љавдрим Салихаси,Lavdrim Salihasi,Lavdrim Salihasi,Lavdrim Salihasi
Љаурант Лимани,Laurant Limani,Laurant Limani,Laurant Limani
Љеард Амети,Leard Ameti,Leard Ameti,Leard Ameti
Љеарт Џафери,Leart Xhaferi,Leart Xhaferi,Leart Xhaferi
Љеарт Абдуљи,Leart Abduli,Leart Abduli,Leart Abduli
Љеарт Бошњак,Leart Boshnjak,Leart Boshnjak,Leart Boshnjak
Љеонит Ајдари,Leonit Ajdari,Leonit Ajdari,Leonit Ajdari
Љиндрит Ќазими,Lindrit Qazimi,Lindrit Qazimi,Lindrit Qazimi
Љиндрит Ајрули,Lindrit Ajruli,Lindrit Ajruli,Lindrit Ajruli
Љиндрит Исљами,Lindrit Islami,Lindrit Islami,Lindrit Islami
Љиндрит Мурати,Lindrit Murati,Lindrit Murati,Lindrit Murati
Љиридон Демири,Liridon Demiri,Liridon Demiri,Liridon Demiri
Љиридон Реџепи,Liridon Rexhepi,Liridon Rexhepi,Liridon Rexhepi
Љиридон Сулејмани,Liridon Sulejmani,Liridon Sulejmani,Liridon Sulejmani
Љирим Абази,Lirim Abazi,Lirim Abazi,Lirim Abazi
Љирим Исмаиљи,Lirim Ismaili,Lirim Ismaili,Lirim Ismaili
Љирим Поцеста,Lirim Pocesta,Lirim Pocesta,Lirim Pocesta
Љирјон Дестани,Lirjon Destani,Lirjon Destani,Lirjon Destani
Љирјон Селмани,Lirjon Selmani,Lirjon Selmani,Lirjon Selmani
Љис Имери,Lis Imeri,Lis Imeri,Lis Imeri
Љорик Аљими,Lorik Alimi,Lorik Alimi,Lorik Alimi
Љорик Даипи,Lorik Daipi,Lorik Daipi,Lorik Daipi
Љуан Алиу,Luan Aliu,Luan Aliu,Luan Aliu
Љубе Тасиќ,Ljube Tasić,Ljube Tasić,Ljube Tasić
Љубиша Антиќ,Ljubiša Antić,Ljubiša Antić,Ljubiša Antić
Љумтон Исмаили,Lumton Ismaili,Lumton Ismaili,Lumton Ismaili
Љупчо Марковиќ,Ljupčo Marković,Ljupčo Marković,Ljupčo Marković
Љутфи Шерифи,Lutfi Sherifi,Lutfi Sherifi,Lutfi Sherifi
Ќазим Љимани,Qazim Limani,Qazim Limani,Qazim Limani
Ќазим Зимбери,Qazim Zimberi,Qazim Zimberi,Qazim Zimberi
Ќазим Реџепи,Qazim Rexhepi,Qazim Rexhepi,Qazim Rexhepi
Ќани Џемаили,Qani Xhemaili,Qani Xhemaili,Qani Xhemaili
Ќемал Несими,Qemal Nesimi,Qemal Nesimi,Qemal Nesimi
Ќемаљ Емини,Qemal Emini,Qemal Emini,Qemal Emini
Ќендрим Абази,Qendrim Abazi,Qendrim Abazi,Qendrim Abazi
Ќендрим Ајдини,Qendrim Ajdini,Qendrim Ajdini,Qendrim Ajdini
Ќендрим Аљиљи,Qendrim Alili,Qendrim Alili,Qendrim Alili
Ќендрим Бекири,Qendrim Bekiri,Qendrim Bekiri,Qendrim Bekiri
Ќерем Хамзаи,Qerem Hamzai,Qerem Hamzai,Qerem Hamzai
Ќерим Бекири,Qerim Bekiri,Qerim Bekiri,Qerim Bekiri
Џабир Азири,Xhabir Aziri,Xhabir Aziri,Xhabir Aziri
Џан Имери,Xhan Imeri,Xhan Imeri,Xhan Imeri
Џан Тотре,Xhan Totre,Xhan Totre,Xhan Totre
Џан Шабан Расим,Can Şaban Rasim,Can Şaban Rasim,Can Şaban Rasim
Џафер Несими,Xhafer Nesimi,Xhafer Nesimi,Xhafer Nesimi
Џахит Хусејни,Xhahit Husejni,Xhahit Husejni,Xhahit Husejni
Џеват Шахсивари,Xhevat Shahsivari,Xhevat Shahsivari,Xhevat Shahsivari
Џевдет Идризи,Xhevdet Idrizi,Xhevdet Idrizi,Xhevdet Idrizi
Џевдет Ракипи,Xhevdet Rakipi,Xhevdet Rakipi,Xhevdet Rakipi
Џезаир Авдули,Xhezair Avduli,Xhezair Avduli,Xhezair Avduli
Џелал Јашар,Xhelal Jashar,Xhelal Jashar,Xhelal Jashar
Џелил Абдула,Xhelil Abdula,Xhelil Abdula,Xhelil Abdula
Џем Ахмед,Cem Ahmed,Cem Ahmed,Cem Ahmed
Џемаил Џемаили,Xhemail Xhemaili,Xhemail Xhemaili,Xhemail Xhemaili
Џемал Амети,Xhemal Ameti,Xhemal Ameti,Xhemal Ameti
Џемал Исмаили,Xhemal Ismaili,Xhemal Ismaili,Xhemal Ismaili
Џемајљ Аземи,Xhemajl Azemi,Xhemajl Azemi,Xhemajl Azemi
Џемајљ Бајрамовиќ,Džemajl Bajramović,Džemajl Bajramović,Džemajl Bajramović
Џемаљ Етеми,Xhemal Etemi,Xhemal Etemi,Xhemal Etemi
Џемил Амити,Xhemil Amiti,Xhemil Amiti,Xhemil Amiti
Џемисал Рушити,Xhemisal Rushiti,Xhemisal Rushiti,Xhemisal Rushiti
Џемиљ Јахији,Xhemil Jahiji,Xhemil Jahiji,Xhemil Jahiji
Џенан Идризовиќ,Dženan Idrizović,Dženan Idrizović,Dženan Idrizović
Џенгис Дико,Xhengis Diko,Xhengis Diko,Xhengis Diko
Џенис Јакупи,Xhenis Jakupi,Xhenis Jakupi,Xhenis Jakupi
Џенис Мухареми,Xhenis Muharemi,Xhenis Muharemi,Xhenis Muharemi
Џенур Адиљи,Xhenur Adili,Xhenur Adili,Xhenur Adili
Џесур Имери,Xhesur Imeri,Xhesur Imeri,Xhesur Imeri
Џефри Ли Етан,Džefri Li Etan,Džefri Li Etan,Džefri Li Etan
Џељиљ Асани,Xhelil Asani,Xhelil Asani,Xhelil Asani
Џини Арбен,Xhini Arben,Xhini Arben,Xhini Arben
Џихад Јашари,Xhihad Jashari,Xhihad Jashari,Xhihad Jashari
Џихан Адили,Xhihan Adili,Xhihan Adili,Xhihan Adili
Џихан Ибраими,Xhihan Ibraimi,Xhihan Ibraimi,Xhihan Ibraimi
Џихат Даљипи,Xhihat Dalipi,Xhihat Dalipi,Xhihat Dalipi
Џунејд Адеми,Xhunejd Ademi,Xhunejd Ademi,Xhunejd Ademi
Абди Љатифи,Abdi Latifi,Abdi Latifi,Abdi Latifi
Абдула Јашари,Abdula Jashari,Abdula Jashari,Abdula Jashari
Абдула Чако,Abdula Çako,Abdula Çako,Abdula Çako
Абдулсамет Џанл,Abdulsamet Canl,Abdulsamet Canl,Abdulsamet Canl
Абдулќани Азизи,Abdulqani Azizi,Abdulqani Azizi,Abdulqani Azizi
Абдуљраим Ебиби,Abdulraim Ebibi,Abdulraim Ebibi,Abdulraim Ebibi
Абедин Суљемани,Abedin Sulejmani,Abedin Sulejmani,Abedin Sulejmani
Абиљ Рамани,Abil Ramani,Abil Ramani,Abil Ramani
Абулкадир Исљами,Abulkadir Islami,Abulkadir Islami,Abulkadir Islami
Авдирахим Аљиљи,Avdirahim Alili,Avdirahim Alili,Avdirahim Alili
Аган Бериша,Agan Berisha,Agan Berisha,Agan Berisha
Аган Мемиши,Agan Memishi,Agan Memishi,Agan Memishi
Агмир Љатифи,Agmir Latifi,Agmir Latifi,Agmir Latifi
Агон Јашари,Agon Jashari,Agon Jashari,Agon Jashari
Агон Љуши,Agon Lushi,Agon Lushi,Agon Lushi
Агон Алуши,Agon Alushi,Agon Alushi,Agon Alushi
Агон Бешири,Agon Beshiri,Agon Beshiri,Agon Beshiri
Агон Исмаиљи,Agon Ismaili,Agon Ismaili,Agon Ismaili
Агон Реџепи,Agon Rexhepi,Agon Rexhepi,Agon Rexhepi
Агон Хашими,Agon Hashimi,Agon Hashimi,Agon Hashimi
Агрон Љика,Agron Lika,Agron Lika,Agron Lika
Агуш Вејсел,Agush Vejsel,Agush Vejsel,Agush Vejsel
Адван Љатифи,Advan Latifi,Advan Latifi,Advan Latifi
Адем Вукељ,Adem Vukel,Adem Vukel,Adem Vukel
Адем Реџепи,Adem Rexhepi,Adem Rexhepi,Adem Rexhepi
Ади Алиќ,Adi Alić,Adi Alić,Adi Alić
Адис Беровиќ,Adis Berović,Adis Berović,Adis Berović
Адис Даутовиќ,Adis Dautović,Adis Dautović,Adis Dautović
Адмир Азировиќ,Admir Azirović,Admir Azirović,Admir Azirović
Аднан Куртиши,Adnan Kurtishi,Adnan Kurtishi,Adnan Kurtishi
Аднан Османовиќ,Adnan Osmanović,Adnan Osmanović,Adnan Osmanović
Адних Љутфију,Adnih Lutfiju,Adnih Lutfiju,Adnih Lutfiju
Адријан Муча,Adrijan Muça,Adrijan Muça,Adrijan Muça
Адхурим Иљази,Adhurim Iljazi,Adhurim Iljazi,Adhurim Iljazi
Азири Иљ,Aziri Il,Aziri Il,Aziri Il
Албан Рочи,Alban Roçi,Alban Roçi,Alban Roçi
Албан Шабани,Alban Shabani,Alban Shabani,Alban Shabani
Алберт Ќамили,Albert Qamili,Albert Qamili,Albert Qamili
Албин Љимани,Albin Limani,Albin Limani,Albin Limani
Албин Џемаили,Albin Xhemaili,Albin Xhemaili,Albin Xhemaili
Албин Беќири,Albin Beqiri,Albin Beqiri,Albin Beqiri
Албин Сељмани,Albin Selmani,Albin Selmani,Albin Selmani
Албион Јашари,Albion Jashari,Albion Jashari,Albion Jashari
Албионот Момчила,Albionot Momçila,Albionot Momçila,Albionot Momçila
Алдин Хасиќ,Aldin Hasić,Aldin Hasić,Aldin Hasić
Алдин Хрвановиќ,Aldin Hrvanović,Aldin Hrvanović,Aldin Hrvanović
Алекса Јазаџиќ,Aleksa Jazadžić,Aleksa Jazadžić,Aleksa Jazadžić
Алекса Јовановиќ,Aleksa Jovanović,Aleksa Jovanović,Aleksa Jovanović
Александар Ѓорѓевиќ,Aleksandar Gjorgjević,Aleksandar Gjorgjević,Aleksandar Gjorgjević
Александар Алексиќ,Aleksandar Aleksić,Aleksandar Aleksić,Aleksandar Aleksić
Александар Димитриевиќ,Aleksandar Dimitrijević,Aleksandar Dimitrijević,Aleksandar Dimitrijević
Александар Жарковиќ,Aleksandar Žarković,Aleksandar Žarković,Aleksandar Žarković
Александар Кочишки,Aleksandar Kočiški,Aleksandar Kočiški,Aleksandar Kočiški
Александар Пешиќ,Aleksandar Pešić,Aleksandar Pešić,Aleksandar Pešić
Александар Симиќ,Aleksandar Simić,Aleksandar Simić,Aleksandar Simić
Александар Станојевиќ,Aleksandar Stanojević,Aleksandar Stanojević,Aleksandar Stanojević
Александер Трумчи,Aleksander Trumçi,Aleksander Trumçi,Aleksander Trumçi
Алексеј Васиќ,Aleksej Vasić,Aleksej Vasić,Aleksej Vasić
Алексеј Трендафиловиќ,Aleksej Trendafilović,Aleksej Trendafilović,Aleksej Trendafilović
Алексиќ Давид,Aleksić David,Aleksić David,Aleksić David
Ален Агуш,Alen Agush,Alen Agush,Alen Agush
Али Џанл,Ali Canl,Ali Canl,Ali Canl
Али Ибиши,Ali Ibishi,Ali Ibishi,Ali Ibishi
Али Меџити,Ali Mexhiti,Ali Mexhiti,Ali Mexhiti
Али Речи,Ali Reçi,Ali Reçi,Ali Reçi
Алија Хрловиќ,Alija Hrlović,Alija Hrlović,Alija Hrlović
Алији Шпутим,Aliji Shputim,Aliji Shputim,Aliji Shputim
Алиџан Аљуш,Alixhan Alush,Alixhan Alush,Alixhan Alush
Алиџан Узеири,Alixhan Uzeiri,Alixhan Uzeiri,Alixhan Uzeiri
Алиџан Фазлија,Alixhan Fazlija,Alixhan Fazlija,Alixhan Fazlija
Алмедин Лекиќ,Almedin Lekić,Almedin Lekić,Almedin Lekić
Алмир Бишевац,Almir Biševac,Almir Biševac,Almir Biševac
Алмир Зеќири,Almir Zeqiri,Almir Zeqiri,Almir Zeqiri
Алмир Ибиши,Almir Ibishi,Almir Ibishi,Almir Ibishi
Алмир Шаќири,Almir Shaqiri,Almir Shaqiri,Almir Shaqiri
Алперен Шасивари,Alperen Shahsivari,Alperen Shahsivari,Alperen Shahsivari
Амар Џеладини,Amar Xheladini,Amar Xheladini,Amar Xheladini
Амар Џемаили,Amar Xhemaili,Amar Xhemaili,Amar Xhemaili
Амар Ељези,Amar Elezi,Amar Elezi,Amar Elezi
Амар Иљази,Amar Iljazi,Amar Iljazi,Amar Iljazi
Амар Мељичи,Amar Meliçi,Amar Meliçi,Amar Meliçi
Амар Саљиу,Amar Saliu,Amar Saliu,Amar Saliu
Амар Трубљанин,Amar Trubljanin,Amar Trubljanin,Amar Trubljanin
Амар Хаџибулиќ,Amar Hadžibulić,Amar Hadžibulić,Amar Hadžibulić
Амар Шабани,Amar Shabani,Amar Shabani,Amar Shabani
Амар Шкријељ,Amar Škrijelj,Amar Škrijelj,Amar Škrijelj
Амел Фетахович,Amel Fetahovič,Amel Fetahovič,Amel Fetahovič
Амер Дрљевич,Amer Drljevič,Amer Drljevič,Amer Drljevič
Амил Табаковиќ,Amil Tabaković,Amil Tabaković,Amil Tabaković
Амин Качалнику,Amin Kaçalniku,Amin Kaçalniku,Amin Kaçalniku
Амин Суљовиќ,Amin Suljović,Amin Suljović,Amin Suljović
Амир Јашар,Amir Jashar,Amir Jashar,Amir Jashar
Амир Весељи,Amir Veseli,Amir Veseli,Amir Veseli
Аммар Рашиди,Ammar Rashidi,Ammar Rashidi,Ammar Rashidi
Аммар Чако,Ammar Çako,Ammar Çako,Ammar Çako
Анатолиј Петејчук,Anatolij Petejčuk,Anatolij Petejčuk,Anatolij Petejčuk
Ангел Рајчиќ,Angel Rajčić,Angel Rajčić,Angel Rajčić
Андреј Богдановиќ,Andrej Bogdanović,Andrej Bogdanović,Andrej Bogdanović
Андреј Вељовиќ,Andrej Veljović,Andrej Veljović,Andrej Veljović
Андреј Данчевски Данстак,Andrej Dančevski Danstak,Andrej Dančevski Danstak,Andrej Dančevski Danstak
Андреј Димиќ,Andrej Dimić,Andrej Dimić,Andrej Dimić
Андреј Стефановиќ,Andrej Stefanović,Andrej Stefanović,Andrej Stefanović
Андрија Антоловиќ,Andrija Antolović,Andrija Antolović,Andrija Antolović
Анес Мељичи,Anes Meliçi,Anes Meliçi,Anes Meliçi
Ани Беќири,Ani Beqiri,Ani Beqiri,Ani Beqiri
Анид Џафери,Anid Xhaferi,Anid Xhaferi,Anid Xhaferi
Анид Шабани,Anid Shabani,Anid Shabani,Anid Shabani
Аник Бешири,Anik Beshiri,Anik Beshiri,Anik Beshiri
Аник Исљами,Anik Islami,Anik Islami,Anik Islami
Аник Речи,Anik Reçi,Anik Reçi,Anik Reçi
Антонио Кресојевиќ,Antonio Kresojević,Antonio Kresojević,Antonio Kresojević
Арбен Реџепи,Arben Rexhepi,Arben Rexhepi,Arben Rexhepi
Арбер Дардхишта,Arber Dardhishta,Arber Dardhishta,Arber Dardhishta
Арби Џила,Arbi Xhila,Arbi Xhila,Arbi Xhila
Арби Воша,Arbi Vosha,Arbi Vosha,Arbi Vosha
Арди Јашари,Ardi Jashari,Ardi Jashari,Ardi Jashari
Арди Абдиљи,Ardi Abdili,Ardi Abdili,Ardi Abdili
Арди Аљија,Ardi Alija,Ardi Alija,Ardi Alija
Арди Шерифи,Ardi Sherifi,Ardi Sherifi,Ardi Sherifi
Ардит Јашари,Ardit Jashari,Ardit Jashari,Ardit Jashari
Ардит Аљиу,Ardit Aliu,Ardit Aliu,Ardit Aliu
Ардит Зеќири,Ardit Zeqiri,Ardit Zeqiri,Ardit Zeqiri
Ардит Шаќири,Ardit Shaqiri,Ardit Shaqiri,Ardit Shaqiri
Ариан Џафери,Arian Xhaferi,Arian Xhaferi,Arian Xhaferi
Ариан Аљија,Arian Alija,Arian Alija,Arian Alija
Арлинд Буши,Arlind Bushi,Arlind Bushi,Arlind Bushi
Арменд Шаќири,Armend Shaqiri,Armend Shaqiri,Armend Shaqiri
Арменд Шерифи,Armend Sherifi,Armend Sherifi,Armend Sherifi
Армин Бешагиќ,Armin Bešagić,Armin Bešagić,Armin Bešagić
Армин Рушити,Armin Rushiti,Armin Rushiti,Armin Rushiti
Арнел Беќировиќ,Arnel Bećirović,Arnel Bećirović,Arnel Bećirović
Арсим Љамалари,Arsim Llamalari,Arsim Llamalari,Arsim Llamalari
Арт Ељмази,Art Elmazi,Art Elmazi,Art Elmazi
Артан Јашари,Artan Jashari,Artan Jashari,Artan Jashari
Артан Љиварека,Artan Livareka,Artan Livareka,Artan Livareka
Артан Бектеши,Artan Bekteshi,Artan Bekteshi,Artan Bekteshi
Артан Дарлишта,Artan Darlishta,Artan Darlishta,Artan Darlishta
Артан Зеќири,Artan Zeqiri,Artan Zeqiri,Artan Zeqiri
Арѓенд Џелили,Argjend Xhelili,Argjend Xhelili,Argjend Xhelili
Арѓенд Куртиши,Argjend Kurtishi,Argjend Kurtishi,Argjend Kurtishi
Арѓент Џелили,Argjent Xhelili,Argjent Xhelili,Argjent Xhelili
Арјан Исљами,Arjan Islami,Arjan Islami,Arjan Islami
Арљинд Зимери,Arlind Zimeri,Arlind Zimeri,Arlind Zimeri
Арљинд Хамити,Arlind Hamiti,Arlind Hamiti,Arlind Hamiti
Асад Бабачиќ,Asad Babačić,Asad Babačić,Asad Babačić
Аслан Реџепи,Aslan Rexhepi,Aslan Rexhepi,Aslan Rexhepi
Астрит Јашари,Astrit Jashari,Astrit Jashari,Astrit Jashari
Астрит Шерифи,Astrit Sherifi,Astrit Sherifi,Astrit Sherifi
Аулон Куртиши,Aulon Kurtishi,Aulon Kurtishi,Aulon Kurtishi
Ахмед Абуш,Ahmed Abush,Ahmed Abush,Ahmed Abush
Ахмед Суљовиќ,Ahmed Suljović,Ahmed Suljović,Ahmed Suljović
Ахмет Реџепи,Ahmet Rexhepi,Ahmet Rexhepi,Ahmet Rexhepi
Ахсен Мулареџа,Ahsen Mularexha,Ahsen Mularexha,Ahsen Mularexha
Ајан Аџами,Ajan Axhami,Ajan Axhami,Ajan Axhami
Ајдин Џини,Ajdin Xhini,Ajdin Xhini,Ajdin Xhini
Ајдин Шабани,Ajdin Shabani,Ajdin Shabani,Ajdin Shabani
Ајдоган Огужан,Aydogan Oguzhan,Aydogan Oguzhan,Aydogan Oguzhan
Ајет Реџепи,Ajet Rexhepi,Ajet Rexhepi,Ajet Rexhepi
Ајхан Шаќири,Ajhan Shaqiri,Ajhan Shaqiri,Ajhan Shaqiri
Аљага Рамадани,Alaga Ramadani,Alaga Ramadani,Alaga Ramadani
Аљајдин Османи,Alajdin Osmani,Alajdin Osmani,Alajdin Osmani
Аљбан Јашари,Alban Jashari,Alban Jashari,Alban Jashari
Аљбан Ќаиљи,Alban Qaili,Alban Qaili,Alban Qaili
Аљбан Бајрами,Alban Bajrami,Alban Bajrami,Alban Bajrami
Аљбан Биба,Alban Biba,Alban Biba,Alban Biba
Аљбан Иљази,Alban Iljazi,Alban Iljazi,Alban Iljazi
Аљбан Мемеди,Alban Memedi,Alban Memedi,Alban Memedi
Аљбан Ферати,Alban Ferati,Alban Ferati,Alban Ferati
Аљбан Шабани,Alban Shabani,Alban Shabani,Alban Shabani
Аљбим Јашари,Albim Jashari,Albim Jashari,Albim Jashari
Аљбин Љамалари,Albin Llamalari,Albin Llamalari,Albin Llamalari
Аљбин Арифи,Albin Arifi,Albin Arifi,Albin Arifi
Аљбин Бајрами,Albin Bajrami,Albin Bajrami,Albin Bajrami
Аљбин Ибраими,Albin Ibraimi,Albin Ibraimi,Albin Ibraimi
Аљбин Рамадани,Albin Ramadani,Albin Ramadani,Albin Ramadani
Аљбин Салихи,Albin Salihi,Albin Salihi,Albin Salihi
Аљбрим Положани,Albrim Polozhani,Albrim Polozhani,Albrim Polozhani
Аљман Етеми,Alman Etemi,Alman Etemi,Alman Etemi
Аљмендин Шабани,Almendin Shabani,Almendin Shabani,Almendin Shabani
Аљмир Велиу,Almir Veliu,Almir Veliu,Almir Veliu
Аљмир Емини,Almir Emini,Almir Emini,Almir Emini
Аљмир Исмаиљи,Almir Ismaili,Almir Ismaili,Almir Ismaili
Аљмир Османи,Almir Osmani,Almir Osmani,Almir Osmani
Аљмир Фаризи,Almir Farizi,Almir Farizi,Almir Farizi
Аљтин Имери,Altin Imeri,Altin Imeri,Altin Imeri
Аљтин Лога,Altin Loga,Altin Loga,Altin Loga
Аљтрим Јакупи,Altrim Jakupi,Altrim Jakupi,Altrim Jakupi
Азер Омерагиќ,Azer Omeragić,Azer Omeragić,Azer Omeragić
Аќиф Хунели,Aqif Huneli,Aqif Huneli,Aqif Huneli
Аџи Фејзулаи,Axhi Fejzulai,Axhi Fejzulai,Axhi Fejzulai
Башким Велија,Bashkim Velija,Bashkim Velija,Bashkim Velija
Башким Рамадани,Bashkim Ramadani,Bashkim Ramadani,Bashkim Ramadani
Башким Фаризи,Bashkim Farizi,Bashkim Farizi,Bashkim Farizi
Бајрам Зеќири,Bajram Zeqiri,Bajram Zeqiri,Bajram Zeqiri
Беким Аџами,Bekim Axhami,Bekim Axhami,Bekim Axhami
Беким Дарлишта,Bekim Darlishta,Bekim Darlishta,Bekim Darlishta
Белмин Цамиќ,Belmin Camić,Belmin Camić,Belmin Camić
Белмин Шаботиќ,Belmin Šabotić,Belmin Šabotić,Belmin Šabotić
Белмин Шаќировиќ,Belmin Šaćirović,Belmin Šaćirović,Belmin Šaćirović
Берен Беќири,Beren Beqiri,Beren Beqiri,Beren Beqiri
Бериз Лекиќ,Beriz Lekić,Beriz Lekić,Beriz Lekić
Бериз Сејфовиќ,Beriz Sejfović,Beriz Sejfović,Beriz Sejfović
Берин Џелили,Berin Xhelili,Berin Xhelili,Berin Xhelili
Берин Личина,Berin Ličina,Berin Ličina,Berin Ličina
Берин Шабани,Berin Shabani,Berin Shabani,Berin Shabani
Берис Дрпљанин,Beris Drpljanin,Beris Drpljanin,Beris Drpljanin
Беркај Шаини,Berkaj Shaini,Berkaj Shaini,Berkaj Shaini
Бертан Ќерими,Bertan Qerimi,Bertan Qerimi,Bertan Qerimi
Бесам Јашари,Besam Jashari,Besam Jashari,Besam Jashari
Бесан Шахсивари,Besan Shahsivari,Besan Shahsivari,Besan Shahsivari
Бесар Реџепи,Besar Rexhepi,Besar Rexhepi,Besar Rexhepi
Бесар Суља,Besar Sula,Besar Sula,Besar Sula
Бесиан Шабани,Besian Shabani,Besian Shabani,Besian Shabani
Бесим Џелили,Besim Xhelili,Besim Xhelili,Besim Xhelili
Бесим Иша,Besim Isha,Besim Isha,Besim Isha
Бесир Куртиши,Besir Kurtishi,Besir Kurtishi,Besir Kurtishi
Бесир Шабани,Besir Shabani,Besir Shabani,Besir Shabani
Бесмир Рушити,Besmir Rushiti,Besmir Rushiti,Besmir Rushiti
Бесник Шабани,Besnik Shabani,Besnik Shabani,Besnik Shabani
Бехар Реџепи,Behar Rexhepi,Behar Rexhepi,Behar Rexhepi
Бехар Шаќири,Behar Shaqiri,Behar Shaqiri,Behar Shaqiri
Бехар Шукрији,Behar Shukriji,Behar Shukriji,Behar Shukriji
Бејадин Јашари,Bejadin Jashari,Bejadin Jashari,Bejadin Jashari
Бејтула Неџбии,Bejtula Nexhbii,Bejtula Nexhbii,Bejtula Nexhbii
Бељуљ Узеири,Belul Uzeiri,Belul Uzeiri,Belul Uzeiri
Беќир Бехџети,Beqir Behxheti,Beqir Behxheti,Beqir Behxheti
Беќир Синани,Beqir Sinani,Beqir Sinani,Beqir Sinani
Биљали Хасан,Bilali Hasan,Bilali Hasan,Bilali Hasan
Бледи Шкемби,Bledi Shkembi,Bledi Shkembi,Bledi Shkembi
Бленд Џемаили,Blend Xhemaili,Blend Xhemaili,Blend Xhemaili
Бленди Ибиши,Blendi Ibishi,Blendi Ibishi,Blendi Ibishi
Блеранд Ќамили,Blerand Qamili,Blerand Qamili,Blerand Qamili
Блерон Дервиши,Bleron Dervishi,Bleron Dervishi,Bleron Dervishi
Блерон Реџепи,Bleron Rexhepi,Bleron Rexhepi,Bleron Rexhepi
